Model,Deck,Page,Quality (1 to 5),Notes,answered,done_reason,seconds,eval_tokens,think_chars,reply_words,reply_chars,output_file
qwen2.5vl:7b,01_AI_L8_control,13,,,yes,stop,22.25,399,0,279,1790,outputs\vision_bakeoff\replies\qwen2.5vl-7b_01_AI_L8_control_p013.txt
qwen2.5vl:7b,01_AI_L8_control,28,,,yes,stop,16.32,215,0,132,929,outputs\vision_bakeoff\replies\qwen2.5vl-7b_01_AI_L8_control_p028.txt
qwen2.5vl:7b,04_GP_T7_extreme,4,,,yes,stop,17.53,336,0,217,1311,outputs\vision_bakeoff\replies\qwen2.5vl-7b_04_GP_T7_extreme_p004.txt
qwen2.5vl:7b,04_GP_T7_extreme,6,,,yes,stop,20.66,447,0,180,1424,outputs\vision_bakeoff\replies\qwen2.5vl-7b_04_GP_T7_extreme_p006.txt
qwen2.5vl:7b,02_AI_L6_mixed,6,,,yes,stop,10.89,44,0,26,142,outputs\vision_bakeoff\replies\qwen2.5vl-7b_02_AI_L6_mixed_p006.txt
qwen2.5vl:7b,02_AI_L6_mixed,19,,,yes,stop,20.81,364,0,183,1302,outputs\vision_bakeoff\replies\qwen2.5vl-7b_02_AI_L6_mixed_p019.txt
qwen2.5vl:7b,03_ISP_L10_image_heavy,2,,,yes,stop,9.67,15,0,8,55,outputs\vision_bakeoff\replies\qwen2.5vl-7b_03_ISP_L10_image_heavy_p002.txt
qwen2.5vl:7b,03_ISP_L10_image_heavy,9,,,yes,stop,11.59,72,0,42,337,outputs\vision_bakeoff\replies\qwen2.5vl-7b_03_ISP_L10_image_heavy_p009.txt
minicpm-v:8b,01_AI_L8_control,5,,,yes,stop,23.89,184,0,133,908,outputs\vision_bakeoff\replies\minicpm-v-8b_01_AI_L8_control_p005.txt
minicpm-v:8b,01_AI_L8_control,13,,,yes,length,50.07,3000,0,1551,7527,outputs\vision_bakeoff\replies\minicpm-v-8b_01_AI_L8_control_p013.txt
minicpm-v:8b,01_AI_L8_control,28,,,yes,stop,8.01,264,0,149,1085,outputs\vision_bakeoff\replies\minicpm-v-8b_01_AI_L8_control_p028.txt
minicpm-v:8b,04_GP_T7_extreme,4,,,yes,stop,6.46,149,0,74,467,outputs\vision_bakeoff\replies\minicpm-v-8b_04_GP_T7_extreme_p004.txt
minicpm-v:8b,04_GP_T7_extreme,6,,,yes,length,49.86,3000,0,691,6440,outputs\vision_bakeoff\replies\minicpm-v-8b_04_GP_T7_extreme_p006.txt
minicpm-v:8b,02_AI_L6_mixed,6,,,yes,length,53.21,3000,0,1366,9021,outputs\vision_bakeoff\replies\minicpm-v-8b_02_AI_L6_mixed_p006.txt
minicpm-v:8b,02_AI_L6_mixed,19,,,yes,length,56.79,3000,0,182,6974,outputs\vision_bakeoff\replies\minicpm-v-8b_02_AI_L6_mixed_p019.txt
minicpm-v:8b,03_ISP_L10_image_heavy,2,,,yes,stop,4.11,19,0,9,66,outputs\vision_bakeoff\replies\minicpm-v-8b_03_ISP_L10_image_heavy_p002.txt
minicpm-v:8b,03_ISP_L10_image_heavy,9,,,yes,stop,5.85,119,0,69,531,outputs\vision_bakeoff\replies\minicpm-v-8b_03_ISP_L10_image_heavy_p009.txt
granite3.2-vision:2b,01_AI_L8_control,5,,,yes,length,43.49,3000,0,1716,14865,outputs\vision_bakeoff\replies\granite3.2-vision-2b_01_AI_L8_control_p005.txt
granite3.2-vision:2b,01_AI_L8_control,13,,,yes,length,37.15,3000,0,1658,17227,outputs\vision_bakeoff\replies\granite3.2-vision-2b_01_AI_L8_control_p013.txt
granite3.2-vision:2b,01_AI_L8_control,28,,,yes,stop,8.17,327,0,181,1558,outputs\vision_bakeoff\replies\granite3.2-vision-2b_01_AI_L8_control_p028.txt
granite3.2-vision:2b,04_GP_T7_extreme,4,,,yes,stop,6.04,31,0,17,128,outputs\vision_bakeoff\replies\granite3.2-vision-2b_04_GP_T7_extreme_p004.txt
granite3.2-vision:2b,04_GP_T7_extreme,6,,,yes,stop,5.43,6,0,2,21,outputs\vision_bakeoff\replies\granite3.2-vision-2b_04_GP_T7_extreme_p006.txt
granite3.2-vision:2b,02_AI_L6_mixed,6,,,yes,stop,7.46,276,0,209,1222,outputs\vision_bakeoff\replies\granite3.2-vision-2b_02_AI_L6_mixed_p006.txt
granite3.2-vision:2b,02_AI_L6_mixed,19,,,yes,stop,5.40,53,0,28,193,outputs\vision_bakeoff\replies\granite3.2-vision-2b_02_AI_L6_mixed_p019.txt
granite3.2-vision:2b,03_ISP_L10_image_heavy,2,,,yes,stop,5.92,35,0,15,131,outputs\vision_bakeoff\replies\granite3.2-vision-2b_03_ISP_L10_image_heavy_p002.txt
granite3.2-vision:2b,03_ISP_L10_image_heavy,9,,,yes,length,35.77,3000,0,1008,13229,outputs\vision_bakeoff\replies\granite3.2-vision-2b_03_ISP_L10_image_heavy_p009.txt
